keyword,volume,difficulty,intent,priority
как увеличить продажи,12500,65,коммерческий,высокий
crm система для бизнеса,8200,58,коммерческий,высокий
автоматизация продаж,5600,52,коммерческий,средний
управление клиентской базой,3400,45,информационный,средний
как выбрать crm,2800,48,коммерческий,высокий
воронка продаж что это,2200,35,информационный,низкий
лид-менеджмент,1800,42,информационный,средний
контроль отдела продаж,1500,55,коммерческий,высокий
kpi менеджера по продажам,1200,38,информационный,средний
автоматизация бизнес-процессов,3200,60,коммерческий,средний
